Run,Block Size,Time (s),L1 DCM,L2 DCM
1,128,264.945,75937012146,256029751990
2,128,268.776,75979155853,259765169638
3,128,267.211,75986772627,257915039829
4,128,267.101,76012935630,259888708956
5,128,267.031,75975495867,257965743584
6,128,269.147,75720152944,259798809798
7,128,266.028,75729877582,256323909681
8,128,269.676,75748707059,255378707544
9,128,265.756,75730034743,255775860237
10,128,268.021,75916904395,259836944465

1,256,418.693,72116479718,165948664678
2,256,413.355,72117675333,161040327567
3,256,411.826,72105343191,161002999320
4,256,394.341,72889832107,161789409400
5,256,374.759,72579858316,167308179373
6,256,413.033,72155321601,164188711025
7,256,414.19,72049096641,162201559741
8,256,397.808,72580152755,158450897535
9,256,401.303,72813539460,161542432575
10,256,417.17,71962593531,164936637302

1,512,355.729,70737878674,148551084969
2,512,347.484,70699306711,143798963243
3,512,349.874,70726958374,147291809089
4,512,348.513,70727936544,146530328008
5,512,348.134,70717423441,144524655838
6,512,348.209,70718890998,146267111139
7,512,338.88,70533168560,136145402793
8,512,350.489,70730753185,147461107685
9,512,351.932,70706559463,144743489826
10,512,351.023,70729877588,148142169302
