Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,600,128,0.093393,31634632,30544780,171864
1,600,256,0.092751,29893087,71214192,377066
1,600,512,0.087304,28937811,65436978,137002

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,1000,128,0.424073,144438583,135545180,2023853
1,1000,256,0.412027,135373800,367340351,2112540
1,1000,512,0.386477,130425242,303277504,1414069

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,1400,128,1.1558,394456440,412192409,7499957
1,1400,256,1.11801,373173006,964958832,6694864
1,1400,512,1.07844,359056559,841341239,4669044

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,1800,128,2.43072,831297451,819161301,19152886
1,1800,256,2.38244,790793393,2103763222,15388963
1,1800,512,2.24021,764406153,1809780832,9677238

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,2200,128,4.42284,1522584018,1347497398,39055126
1,2200,256,4.37206,1448373165,3883975730,27328010
1,2200,512,4.13327,1400818650,3413893071,18759657

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,2600,128,7.12712,2554633735,1089827625,86273506
1,2600,256,7.09553,2394270210,6328450124,47198911
1,2600,512,6.81287,2313439307,5460788266,31277554

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,3000,128,10.9011,3893480592,1471643287,150417095
1,3000,256,10.8789,3655265544,10074494623,68127684
1,3000,512,10.4683,3530724695,8240171427,41950879

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,4096,128,35.5591,9509067202,32946788896,3525128136
1,4096,256,30.959,9025343604,23644100950,1961269592
1,4096,512,37.7121,8800203186,18928520020,5289719814

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,6144,128,119.919,32480072951,110627856077,12213019331
1,6144,256,104.377,30564776298,77640079331,7699476983
1,6144,512,95.2905,29642613175,66591581620,3209217939

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,8192,128,283.301,73962290180,254262297379,40215568231
1,8192,256,431.734,71981130438,168912963676,109886304017
1,8192,512,357.404,70716051400,144730641801,91855122334

Run,Size,Block Size,Time(s),L1 DCM,L2 DCM,L3 TCM
1,10240,128,597.851,150417358662,503838401423,70272386570
1,10240,256,498.224,141801303783,351381319467,45841000093
1,10240,512,456.103,137137873412,305266016830,23532861380
