Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,600,0.104949,27109017,56795450,370091

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,1000,0.507626,125677453,259200214,14096751

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,1400,1.61424,346070320,700693788,195045326

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,1800,3.65743,745418125,1403801753,662749332

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,2200,6.33209,2073786562,2504600447,1197637108

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,2600,10.7721,4413026370,4180694505,2267630204

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,3000,16.1675,6780896924,6282282319,3473397407

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,4096,41.617,17551153443,16230349771,9629006861

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,6144,141.225,59144230549,54337407292,33238618399

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,8192,338.666,140248961727,130369279328,80860410485

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,10240,649.565,273244481326,244600958558,145453321880
